,S5_1,S5_2,S5_3,S5_4,S5_5,S5_6,S5_7,S5_8,
ASV_119,0.002182103,0.001338082,0.006813924,0.004220104,0.003211396,0.001399839,0.001193981,0.001585112,k__Bacteria;p__Acidobacteria;c__Acidobacteria_Gp1;g__Gp1
ASV_129,0,0,0,0,0,2.06E-05,2.06E-05,0,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Albidovulum
ASV_142,0,2.06E-05,4.12E-05,0.000123515,4.12E-05,0.000123515,4.12E-05,2.06E-05,k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Mariniflexile
ASV_130,6.18E-05,0,0.000288202,0.000226445,2.06E-05,0.000391132,0.000102929,0,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiales_incertae_sedis;g__Thiobacter
ASV_135,0,0.000308788,0.000535233,0,2.06E-05,0.000555819,0.002490891,0.001399839,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Nitrosomonadales;f__Thiobacillaceae;g__Thiobacillus
ASV_121,0,0,0,0,0,0,0,0,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptococcaceae_2
ASV_123,0,0,0,0,2.06E-05,0,0,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Oceanospirillaceae;g__Marinobacterium
ASV_617,0,0.000494061,8.23E-05,6.18E-05,2.06E-05,8.23E-05,2.06E-05,6.18E-05,k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__Roseisolibacter
ASV_162,0,0,0,0,0,0,0,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Alteromonadaceae;g__Marinobacter
ASV_170,0,2.06E-05,2.06E-05,2.06E-05,4.12E-05,0,0,4.12E-05,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Alteromonadaceae;g__Paraglaciecola
ASV_216,0.000391132,0.000432303,0.000823435,0.004096589,0.000741091,0.001132223,0.000123515,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas
ASV_149,2.06E-05,4.12E-05,8.23E-05,2.06E-05,0,0,0,0,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfobacterales
ASV_131,0,2.06E-05,0,6.18E-05,0,0,0,0,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Syntrophobacterales;f__Syntrophaceae;g__Desulfomonile
ASV_194,0,6.18E-05,0.000576404,6.18E-05,4.12E-05,0.001193981,0.000494061,0.000226445,k__Bacteria;p__Acidobacteria
ASV_118,0,6.18E-05,6.18E-05,0.000205859,0,0,0.000144101,0,k__Bacteria;p__Acidobacteria
